@relation myRelation

@attribute diff numeric
@attribute yaw numeric
@attribute pitch numeric
@attribute roll numeric
@attribute neutral numeric
@attribute happy numeric
@attribute surprised numeric
@attribute angry numeric
@attribute disgusted numeric
@attribute afraid numeric
@attribute sad numeric
@attribute aNominal {1,2,3,4,5}

@data
1,0.095215,-0.066551,0.016597,0.691538,0.014899,0.061363,0.204077,0.005729,0.004099,0.018295,1
1,0.078321,-0.023996,0.025469,0.773458,0.020822,0.052347,0.103359,0.011731,0.002454,0.035828,1
1,0.080288,-0.051752,0.020246,0.805726,0.02055,0.053762,0.078273,0.011541,0.003358,0.02679,1
1,0.125664,-0.056028,0.031256,0.686705,0.028728,0.058935,0.190401,0.009023,0.004004,0.022204,1
1,0.092847,-0.070712,0.026685,0.74614,0.015281,0.0697,0.126149,0.010346,0.004242,0.028142,1
1,0.089479,-0.08805,0.023402,0.790535,0.017254,0.072517,0.083046,0.008187,0.003504,0.024957,1
1,0.098282,-0.093682,0.033538,0.738674,0.030143,0.046038,0.143579,0.021191,0.002557,0.017817,1
1,0.090917,-0.115366,0.031606,0.776358,0.021138,0.069767,0.109145,0.006428,0.001993,0.01517,1
1,0.084608,-0.100845,0.03116,0.713594,0.010348,0.060838,0.177874,0.010881,0.006363,0.019921,1
1,0.077422,-0.098686,0.030275,0.605833,0.022379,0.036556,0.306847,0.01783,0.002362,0.008192,1
1,0.082969,-0.091337,0.020543,0.744633,0.020366,0.106397,0.090358,0.006162,0.007138,0.024946,1
2,0.053362,-0.010121,-0.003081,0.79307,0.040082,0.048001,0.03576,0.027613,0.004137,0.051337,1
2,0.033122,0.000204,-0.000972,0.748102,0.0956,0.033431,0.028222,0.057796,0.004789,0.042369,1
2,0.032452,-0.006836,-0.007572,0.547264,0.027186,0.063133,0.014705,0.014644,0.004742,0.060605,1
2,0.039504,-0.013893,-0.01175,0.748163,0.025038,0.096804,0.023529,0.012501,0.00684,0.087186,1
2,0.052367,-0.113862,-0.005964,0.674414,0.010982,0.146781,0.055534,0.004178,0.011017,0.105307,1
2,0.018572,-0.035786,-0.010679,0.625737,0.05329,0.117089,0.10874,0.012373,0.033931,0.058263,1
2,0.014451,-0.027793,-0.006601,0.421027,0.03148,0.076038,0.067167,0.007511,0.022648,0.038402,1
2,0.05038,-0.072766,0.002361,0.756569,0.022797,0.096338,0.058436,0.004811,0.004991,0.056057,1
2,0.049449,-0.068047,0.004236,0.76599,0.028615,0.087135,0.057908,0.00523,0.004729,0.050393,1
2,0.048356,-0.067036,0.008635,0.769134,0.031101,0.084393,0.050019,0.007316,0.004813,0.053224,1
2,0.041922,-0.092993,0.00749,0.766149,0.020043,0.102721,0.056951,0.005048,0.005135,0.053386,1
2,0.016726,-0.012877,0.000503,0.175096,0.006571,0.024388,0.003825,0.00343,0.001594,0.011442,1
2,0.068215,-0.06933,0.003952,0.758601,0.027917,0.102,0.021469,0.028522,0.00605,0.055181,1
2,0.064416,-0.068239,0.008646,0.756375,0.028949,0.105437,0.022035,0.026496,0.005966,0.052327,1
2,0.064599,-0.069624,0.004029,0.766847,0.028726,0.101844,0.021932,0.029261,0.005799,0.04533,1
3,0.060589,-0.034391,0.002379,0.748777,0.023072,0.069345,0.037181,0.00949,0.003743,0.108393,2
3,0.019,-0.009494,0.003244,0.23737,0.006492,0.023311,0.010451,0.006539,0.00158,0.0339,2
3,0.04757,-0.037932,0.018984,0.781832,0.024284,0.064887,0.036054,0.003991,0.003319,0.08529,2
3,0.048236,-0.042595,0.013855,0.777993,0.018952,0.06201,0.034608,0.004837,0.00412,0.097053,2
3,0.045537,-0.044747,0.017288,0.723399,0.014933,0.073272,0.082782,0.003977,0.004081,0.097121,2
3,0.047692,-0.050355,0.00825,0.766044,0.026954,0.060621,0.057149,0.006746,0.003847,0.078221,2
3,0.035706,-0.060552,0.012079,0.805911,0.016829,0.069142,0.027126,0.00377,0.004959,0.071929,2
3,0.042672,-0.045595,0.016689,0.765923,0.016392,0.064115,0.043004,0.004369,0.004118,0.101513,2
3,0.052015,-0.030809,0.011002,0.750423,0.01765,0.060663,0.059131,0.007319,0.003565,0.100682,2
3,0.06045,-0.083421,0.0019,0.804267,0.03288,0.078413,0.021905,0.006081,0.011734,0.053054,2
3,0.028057,-0.038519,0.005418,0.827256,0.038169,0.070563,0.011809,0.009278,0.004769,0.045972,2
3,0.020429,-0.027093,0.003196,0.309442,0.016356,0.025647,0.004898,0.003439,0.001823,0.016861,2
3,0.049156,-0.062145,0.001565,0.788958,0.084339,0.05016,0.024102,0.014669,0.004555,0.033217,3
4,0.032551,0.031469,-0.003932,0.189488,0.59799,0.027196,0.028354,0.075132,0.054125,0.027715,3
4,0.047042,-0.041396,-0.0065,0.458876,0.338691,0.027664,0.01825,0.069471,0.046494,0.040554,3
4,0.016155,-0.026492,-0.001201,0.242185,0.005561,0.026951,0.002407,0.002135,0.008279,0.020174,3
4,0.033542,0.001426,0.01061,0.67208,0.191201,0.020735,0.028631,0.02882,0.007105,0.051427,3
4,0.043373,-0.059158,0.00669,0.787634,0.027385,0.076438,0.007476,0.011196,0.016143,0.073729,3
4,0.045016,0.044166,-0.017478,0.591082,0.182612,0.032241,0.01837,0.1217,0.02978,0.033923,3
4,0.0261,0.021508,-0.006466,0.34842,0.082919,0.019276,0.016551,0.057807,0.014403,0.020692,3
4,0.032788,-0.091077,-0.029081,0.683726,0.030907,0.073262,0.027541,0.01283,0.054259,0.125302,4
4,0.016867,-0.056744,-0.017897,0.403501,0.0145,0.037723,0.012546,0.004824,0.022575,0.066581,4
4,0.031946,-0.052847,-0.023734,0.751699,0.016461,0.083864,0.003598,0.010853,0.031424,0.098531,3
4,0.031702,-0.04004,-0.015771,0.767688,0.024498,0.072964,0.0043,0.024419,0.029567,0.073527,3
4,0.02516,0.034397,0.020923,0.804885,0.026616,0.056842,0.012484,0.025299,0.038163,0.036837,3
4,0.034693,0.062147,0.015587,0.768798,0.090329,0.028826,0.00828,0.040368,0.020702,0.043135,3
4,0.058823,-0.040754,-0.01626,0.578199,0.042558,0.168716,0.012121,0.032362,0.053273,0.120074,4
4,0.013871,-0.002506,-0.000241,0.307415,0.007161,0.033696,0.004384,0.00727,0.00712,0.026957,3
5,0.048572,-0.000552,-0.003849,0.865204,0.044248,0.041728,0.014483,0.002827,0.003348,0.028161,5
5,0.060461,0.030569,0.023351,0.729279,0.082152,0.031039,0.052964,0.049471,0.005095,0.049999,5
5,0.035678,0.007006,0.009107,0.661736,0.139282,0.039215,0.030901,0.039558,0.029177,0.06914,5
5,0.021663,0.008041,0.006325,0.68947,0.123027,0.044361,0.047914,0.042638,0.018982,0.04168,5
5,0.031625,-0.010386,0.006746,0.662827,0.12285,0.06681,0.017345,0.012787,0.053797,0.071585,5
5,0.003095,0.002108,0.000313,0.074016,0.003518,0.004059,0.001278,0.000298,0.000402,0.002486,5
5,-0.003886,0.026948,0.004732,0.841685,0.03891,0.043908,0.006515,0.004018,0.006908,0.058055,5
5,0.064853,-0.071408,0.007003,0.72389,0.094905,0.044035,0.005129,0.00311,0.083539,0.051286,5
5,0.040318,-0.024986,0.00702,0.764328,0.061178,0.056775,0.00892,0.003232,0.078907,0.0304,5
5,0.001544,-0.000055,-0.000629,0.056384,0.001248,0.003894,0.000275,0.000144,0.000474,0.003548,5
5,0.005773,0.017382,0.01842,0.769341,0.037767,0.088997,0.02457,0.017691,0.036414,0.029141,5
