@relation myRelation

@attribute diff numeric
@attribute yaw numeric
@attribute pitch numeric
@attribute roll numeric
@attribute neutral numeric
@attribute happy numeric
@attribute surprised numeric
@attribute angry numeric
@attribute disgusted numeric
@attribute afraid numeric
@attribute sad numeric
@attribute aNominal {1,2,3,4,5}

@data
1,0.079609,-0.026084,0.015293,0.713719,0.026833,0.056865,0.165486,0.009105,0.007024,0.021769,1
1,0.089633,-0.014569,0.024014,0.787635,0.024816,0.050765,0.085864,0.015978,0.002587,0.032354,1
1,0.08735,-0.025418,0.021258,0.794817,0.028996,0.04558,0.081617,0.016271,0.002925,0.029793,1
1,0.109278,-0.041938,0.02292,0.725413,0.022789,0.066588,0.140808,0.012989,0.00298,0.028433,1
1,0.093946,-0.036194,0.023862,0.751897,0.023754,0.055215,0.119862,0.016007,0.003337,0.029927,1
1,0.091001,-0.04175,0.024789,0.734271,0.022448,0.049357,0.141789,0.015606,0.004642,0.032533,1
1,0.093757,-0.063802,0.028821,0.768168,0.028758,0.043175,0.102621,0.030043,0.00291,0.024324,1
1,0.094767,-0.0548,0.029026,0.803743,0.028534,0.049821,0.07585,0.014655,0.002423,0.024974,1
1,0.091287,-0.054444,0.027058,0.758751,0.02695,0.048733,0.120635,0.018027,0.002515,0.02439,1
1,0.086669,-0.053239,0.026789,0.698192,0.026135,0.051243,0.152447,0.037391,0.003822,0.026278,1
1,0.087751,-0.022416,0.025005,0.681903,0.028353,0.047566,0.197912,0.01331,0.003036,0.02792,1
2,0.093527,-0.026699,-0.005768,0.695076,0.06179,0.061149,0.020269,0.040353,0.005117,0.116246,1
2,0.053421,-0.114093,-0.001023,0.691309,0.016273,0.095057,0.158821,0.005989,0.005273,0.027278,1
2,0.049559,-0.05423,-0.004237,0.722594,0.043512,0.084612,0.05288,0.005625,0.015381,0.075397,1
2,0.061613,-0.044017,0.012439,0.752484,0.038367,0.068233,0.028719,0.002811,0.003542,0.096202,1
2,0.08302,-0.055052,0.009882,0.805242,0.052098,0.060034,0.028564,0.012156,0.00189,0.040015,1
2,0.046344,-0.075756,0.00448,0.792498,0.02912,0.088991,0.032568,0.005788,0.003983,0.047052,1
2,0.080722,-0.060157,-0.001953,0.793137,0.029276,0.100228,0.013284,0.011374,0.006707,0.045994,1
2,0.056838,-0.093501,0.005682,0.765942,0.016647,0.104828,0.047481,0.005187,0.002943,0.056973,1
2,0.060459,-0.084743,0.013983,0.808882,0.032907,0.076326,0.027855,0.008138,0.00322,0.042674,1
2,0.055607,-0.102579,0.008187,0.816298,0.018286,0.082469,0.036986,0.003728,0.002727,0.039507,1
3,0.057876,-0.035617,-0.000143,0.745028,0.022283,0.062262,0.023192,0.00481,0.002784,0.139642,2
3,0.053855,-0.046586,0.012259,0.819882,0.041386,0.058005,0.025236,0.006009,0.003074,0.046408,2
