@RELATION sander

@ATTRIBUTE feature1 NUMERIC
@ATTRIBUTE feature2 NUMERIC
@ATTRIBUTE feature3 NUMERIC
@ATTRIBUTE feature4 NUMERIC
@ATTRIBUTE feature5 NUMERIC
@ATTRIBUTE feature6 NUMERIC
@ATTRIBUTE feature7 NUMERIC
@ATTRIBUTE feature8 NUMERIC
@ATTRIBUTE feature9 NUMERIC
@ATTRIBUTE feature10 NUMERIC
@ATTRIBUTE feature11 NUMERIC
@ATTRIBUTE feature12 NUMERIC
@ATTRIBUTE feature13 NUMERIC
@ATTRIBUTE feature14 NUMERIC
@ATTRIBUTE feature15 NUMERIC
@ATTRIBUTE feature16 NUMERIC
@ATTRIBUTE feature17 NUMERIC
@ATTRIBUTE feature18 NUMERIC
@ATTRIBUTE feature19 NUMERIC
@ATTRIBUTE feature20 NUMERIC
@ATTRIBUTE feature21 NUMERIC
@ATTRIBUTE feature22 NUMERIC
@ATTRIBUTE feature23 NUMERIC
@ATTRIBUTE feature24 NUMERIC
@ATTRIBUTE feature25 NUMERIC
@ATTRIBUTE feature26 NUMERIC
@ATTRIBUTE feature27 NUMERIC
@ATTRIBUTE feature28 NUMERIC
@ATTRIBUTE feature29 NUMERIC
@ATTRIBUTE feature30 NUMERIC
@ATTRIBUTE feature31 NUMERIC
@ATTRIBUTE feature32 NUMERIC
@ATTRIBUTE feature33 NUMERIC
@ATTRIBUTE feature34 NUMERIC
@ATTRIBUTE feature35 NUMERIC
@ATTRIBUTE feature36 NUMERIC
@ATTRIBUTE feature37 NUMERIC
@ATTRIBUTE feature38 NUMERIC
@ATTRIBUTE feature39 NUMERIC
@ATTRIBUTE feature40 NUMERIC
@ATTRIBUTE feature41 NUMERIC
@ATTRIBUTE feature42 NUMERIC
@ATTRIBUTE feature43 NUMERIC
@ATTRIBUTE feature44 NUMERIC
@ATTRIBUTE feature45 NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE appropriateness {0,1}
@ATTRIBUTE timestamp STRING

@DATA
39, 39, 26, 0, 0, 27, 3, 14, 7, 14, 15, 3, 6, 2, 1, 2, 2, 1, 0, 3, 10, 12, 11, 0, 4, 18.0, 3.0, 2.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 20130503_134544
19, 19, 13, 0, 0, 0, 0, 8, 2, 13, 9, 1, 6, 1, 1, 1, 2, 0, 0, 0, 6, 0, 9, 0, 1, 10.0, 1.0, 1.0, 0.0, 0.5, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 20130503_134556
34, 34, 21, 0, 0, 25, 19, 23, 4, 8, 8, 2, 6, 0, 1, 2, 5, 1, 1, 0, 5, 0, 0, 0, 0, 13.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 4, 1, 20130503_134617
35, 35, 23, 0, 0, 25, 22, 23, 2, 4, 10, 0, 2, 0, 2, 2, 2, 0, 2, 0, 14, 0, 0, 24, 1, 17.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 3, 0, 4, 1, 20130503_134638
42, 42, 24, 0, 0, 32, 16, 18, 5, 8, 28, 2, 5, 2, 5, 2, 8, 2, 5, 1, 7, 0, 28, 0, 1, 15.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 1, 0, 0, 0, 0, 4, 1, 20130503_134704
16, 16, 12, 0, 0, 10, 12, 2, 0, 4, 13, 0, 4, 0, 3, 0, 4, 0, 2, 0, 6, 0, 0, 0, 0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 1, 20130503_134714
19, 19, 15, 0, 0, 17, 5, 13, 0, 1, 19, 0, 4, 0, 5, 0, 1, 0, 1, 0, 4, 0, 0, 0, 0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 20130503_134726
40, 40, 23, 0, 0, 19, 11, 24, 2, 14, 12, 2, 3, 4, 2, 1, 1, 0, 0, 0, 11, 0, 19, 2, 2, 14.0, 3.0, 2.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 7, 0, 20130503_134750
48, 48, 31, 0, 0, 37, 2, 29, 6, 10, 21, 0, 10, 2, 2, 1, 1, 1, 0, 2, 15, 21, 3, 0, 2, 23.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 1, 1, 0, 4, 0, 20130503_134820
51, 51, 27, 0, 0, 49, 3, 28, 6, 18, 12, 4, 10, 3, 2, 2, 6, 3, 0, 2, 11, 38, 12, 0, 4, 15.0, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 4, 0, 20130503_134854
10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 10, 0, 2, 0, 1, 0, 0, 0, 15, 10, 0, 0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 20130503_134903
28, 28, 17, 0, 0, 24, 1, 19, 3, 13, 21, 2, 10, 1, 2, 1, 1, 0, 0, 0, 15, 16, 13, 0, 3, 13.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 20130503_134923
13, 13, 5, 0, 0, 10, 1, 6, 0, 2, 21, 0, 10, 0, 2, 0, 1, 0, 0, 0, 15, 13, 0, 0, 1, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 20130503_134934
15, 15, 7, 0, 0, 26, 1, 13, 1, 1, 21, 0, 10, 0, 2, 0, 1, 0, 0, 0, 15, 15, 0, 0, 1, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 20130503_134946
