@relation myRelation

@attribute diff numeric
@attribute yaw numeric
@attribute pitch numeric
@attribute roll numeric
@attribute neutral numeric
@attribute happy numeric
@attribute surprised numeric
@attribute angry numeric
@attribute disgusted numeric
@attribute afraid numeric
@attribute sad numeric
@attribute aNominal {1,2,3,4,5}

@data
1,0.048229,0.013817,-0.009823,0.408651,0.019192,0.146213,0.004617,0.009181,0.004612,0.407534,1
1,0.065048,0.000004,0.009921,0.736071,0.017634,0.083021,0.03566,0.004242,0.002933,0.120439,1
1,0.05975,0.000416,0.003337,0.621476,0.01488,0.125243,0.011314,0.002856,0.003184,0.221047,1
1,0.072275,-0.001295,0.008129,0.670864,0.018259,0.114786,0.023767,0.011367,0.005167,0.151295,1
1,0.071596,-0.002767,0.002253,0.71671,0.021436,0.079637,0.028227,0.007051,0.003057,0.143882,1
1,0.05251,-0.015368,-0.017627,0.744067,0.017654,0.078737,0.0572,0.047943,0.004492,0.049907,1
1,0.070401,-0.005475,-0.017966,0.756045,0.016148,0.084779,0.033193,0.053437,0.007048,0.04935,1
1,0.065266,0.000131,-0.003097,0.741457,0.032553,0.058845,0.023453,0.074991,0.007503,0.059768,1
1,0.061797,-0.022127,-0.013552,0.689196,0.012999,0.13458,0.043371,0.038522,0.00615,0.075184,1
1,0.07252,-0.000462,-0.003981,0.725209,0.025029,0.085171,0.024347,0.086035,0.005909,0.048299,1
1,?,?,?,?,?,?,?,?,?,?,1
1,0.077303,-0.010016,-0.022183,0.537486,0.026029,0.134039,0.06354,0.07853,0.02499,0.13423,1
2,0.025444,-0.064974,0.005171,0.631336,0.043977,0.039429,0.226357,0.012189,0.025997,0.014046,1
2,0.020074,-0.049973,0.003363,0.786703,0.042618,0.044493,0.087941,0.01867,0.001599,0.017976,1
2,0.026193,-0.057884,-0.002732,0.747837,0.031843,0.057117,0.127495,0.012662,0.001631,0.021415,1
2,0.026757,-0.066258,0.001275,0.740135,0.04512,0.050814,0.137226,0.007956,0.001602,0.017148,1
2,0.029563,-0.078284,0.002096,0.770924,0.039272,0.0534,0.108591,0.006902,0.001874,0.019038,1
2,0.024097,-0.053115,0.003802,0.693059,0.026749,0.049533,0.15415,0.015722,0.027762,0.018485,1
2,0.027492,-0.078745,0.001723,0.769071,0.03677,0.053017,0.110836,0.00946,0.001934,0.018911,1
2,0.030405,-0.076742,-0.003871,0.678244,0.053031,0.040922,0.196354,0.013948,0.002102,0.015399,1
2,0.031365,-0.074691,0.016124,0.657036,0.030509,0.050823,0.19549,0.007622,0.001055,0.034569,1
2,0.027199,-0.069928,-0.005172,0.727895,0.054157,0.053284,0.122596,0.016925,0.003114,0.022029,1
3,0.062439,-0.020688,-0.009696,0.564407,0.033283,0.113064,0.015462,0.010979,0.043574,0.202299,1
3,0.060399,-0.043208,0.013543,0.606232,0.019699,0.084765,0.092079,0.02735,0.007071,0.14465,1
3,0.064032,-0.035356,0.008508,0.529661,0.016922,0.123585,0.049095,0.007468,0.007475,0.246187,1
3,0.065653,-0.036835,0.00365,0.56838,0.019515,0.112428,0.071389,0.008986,0.005632,0.200423,1
3,0.05806,-0.035814,0.011684,0.566785,0.012564,0.124067,0.057996,0.004379,0.007854,0.205931,1
3,?,?,?,?,?,?,?,?,?,?,1
3,0.066886,-0.04431,0.004178,0.633455,0.01494,0.10197,0.04966,0.016033,0.007447,0.156888,1
3,0.073935,-0.027789,0.01407,0.554379,0.027144,0.103162,0.059936,0.017692,0.007842,0.209422,1
3,0.064307,-0.034409,0.015635,0.625434,0.034027,0.091311,0.044736,0.02472,0.008202,0.151965,1
3,0.061291,-0.041789,0.005867,0.555299,0.012565,0.140796,0.027951,0.008508,0.008432,0.227597,1
3,0.075491,-0.016629,0.024444,0.575091,0.020939,0.10398,0.037672,0.010928,0.007947,0.217599,1
4,0.04181,0.045672,-0.010358,0.555228,0.125459,0.028113,0.090974,0.136408,0.006121,0.057696,2
4,?,?,?,?,?,?,?,?,?,?,2
4,0.022529,-0.011282,0.008913,0.508041,0.074483,0.046339,0.171846,0.077204,0.005876,0.110718,2
4,?,?,?,?,?,?,?,?,?,?,3
4,0.034226,-0.03097,0.005679,0.418868,0.123835,0.041326,0.157892,0.125322,0.011865,0.117927,2
4,0.037095,-0.025072,0.009415,0.48122,0.067763,0.033397,0.153054,0.187379,0.012282,0.059098,2
4,?,?,?,?,?,?,?,?,?,?,2
4,?,?,?,?,?,?,?,?,?,?,2
4,0.041537,0.006962,0.000163,0.405804,0.109124,0.059143,0.062028,0.068797,0.014682,0.278534,2
4,0.02448,0.004146,0.000373,0.525387,0.105497,0.048212,0.070749,0.094421,0.014607,0.138492,2
4,?,?,?,?,?,?,?,?,?,?,2
5,0.059018,0.011527,-0.01014,0.437207,0.036752,0.076467,0.049454,0.231477,0.006631,0.162012,3
5,?,?,?,?,?,?,?,?,?,?,3
5,?,?,?,?,?,?,?,?,?,?,3
5,0.032959,0.004834,-0.039825,0.29128,0.019598,0.177733,0.038725,0.127012,0.021108,0.320593,3
5,0.041756,0.002943,-0.03263,0.242391,0.024996,0.25048,0.031293,0.148763,0.037806,0.258905,3
5,?,?,?,?,?,?,?,?,?,?,3
5,?,?,?,?,?,?,?,?,?,?,3
5,?,?,?,?,?,?,?,?,?,?,4
5,0.092197,0.025897,-0.022213,0.431941,0.049875,0.060461,0.204136,0.143215,0.00455,0.105821,3
5,?,?,?,?,?,?,?,?,?,?,3
5,0.100917,-0.027205,-0.02165,0.388748,0.06756,0.061518,0.215027,0.168619,0.014255,0.078545,3
5,?,?,?,?,?,?,?,?,?,?,3
5,?,?,?,?,?,?,?,?,?,?,3
1,0.057345,0.139065,-0.031699,0.216731,0.007051,0.034154,0.731582,0.001349,0.001092,0.008041,1
1,0.057558,0.125802,-0.019624,0.325087,0.007519,0.043241,0.606688,0.002314,0.001965,0.013185,1
1,0.050794,0.118539,-0.03027,0.371889,0.014978,0.031643,0.55881,0.003139,0.003324,0.018248,1
1,0.060224,0.117075,-0.032898,0.403611,0.012136,0.031082,0.522836,0.014654,0.002468,0.009798,1
1,0.095638,0.109873,-0.048247,0.251335,0.01468,0.025517,0.69761,0.003975,0.00187,0.005012,1
1,0.066774,0.107393,-0.029257,0.391494,0.012212,0.031148,0.552887,0.002322,0.001396,0.00854,1
1,0.068287,0.121313,-0.027248,0.325008,0.009328,0.029462,0.624052,0.002264,0.001574,0.008313,1
1,0.059189,0.104736,-0.031639,0.396182,0.016054,0.026687,0.546647,0.002471,0.002667,0.009292,1
1,0.068028,0.099938,-0.031111,0.485173,0.012504,0.050493,0.412681,0.005433,0.009912,0.023805,1
1,0.055268,0.081064,-0.028256,0.462374,0.013262,0.031749,0.47536,0.002371,0.003031,0.011853,1
2,?,?,?,?,?,?,?,?,?,?,2
2,0.054537,0.193574,-0.015807,0.539794,0.011202,0.124485,0.293666,0.003393,0.004585,0.022875,1
2,0.042681,0.18877,-0.016049,0.523891,0.020301,0.117329,0.302211,0.006938,0.004085,0.024798,1
2,0.03999,0.165193,-0.015678,0.514591,0.016956,0.127865,0.29716,0.006214,0.005089,0.031842,1
2,0.028066,0.142017,-0.024682,0.644782,0.021329,0.094726,0.186004,0.005633,0.017463,0.029689,1
2,0.03731,0.156993,-0.019507,0.542778,0.019073,0.11674,0.283415,0.008737,0.00611,0.024039,1
2,0.041166,0.160147,-0.000661,0.536111,0.025372,0.102304,0.276489,0.008767,0.004641,0.035287,1
2,0.013128,0.089376,-0.015512,0.675223,0.009545,0.075143,0.212376,0.002245,0.002736,0.022732,1
2,0.030675,0.079021,-0.022083,0.611881,0.010119,0.091043,0.23516,0.013862,0.002395,0.023199,1
2,0.030305,0.160452,-0.021425,0.370526,0.050572,0.107442,0.443625,0.007581,0.005497,0.013673,1
3,0.048108,0.194872,-0.001695,0.65986,0.003984,0.133493,0.139617,0.003417,0.007593,0.052037,3
3,?,?,?,?,?,?,?,?,?,?,3
3,?,?,?,?,?,?,?,?,?,?,3
3,?,?,?,?,?,?,?,?,?,?,3
3,0.00941,0.141363,-0.021052,0.613037,0.027421,0.076319,0.180628,0.030154,0.021076,0.051364,3
3,0.01422,0.072674,-0.012393,0.461754,0.055876,0.024535,0.352854,0.083162,0.011446,0.018007,3
3,0,0,0,0.521005,0.044089,0.045418,0.281443,0.061298,0.015299,0.031449,1
3,0.055164,0.123572,-0.034395,0.334224,0.007811,0.030905,0.608215,0.003749,0.002277,0.01282,1
3,0.041395,0.162802,-0.01349,0.12382,0.15965,0.009055,0.290961,0.344838,0.032756,0.046,1
