25, 25, 18, 0, 0, 0, 1, 16, 1, 3, 6, 0, 5, 0, 0, 1, 1, 0, 0, 0, 1, 15, 0, 0, 2, 17.0, 0.17, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.33, 0.0, 0.93, 0.93, 0.0, 1.0, 1.0, 0.0, 2.53, 1.73, 0.0, 1.2, 1.2, 0.0, 2, 2, 2, 2, 2, 5, 3, 3, 3, 20140125_230148
9, 9, 6, 0, 0, 0, 0, 8, 0, 4, 5, 1, 5, 1, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.0, 0.33, 1.0, 0.2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.0, 1.6, 0.0, 1.0, 1.0, 0.0, 1.27, 1.27, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2, 2, 2, 2, 2, 5, 3, 3, 3, 20140125_230200
22, 22, 13, 0, 0, 0, 0, 11, 2, 4, 7, 4, 6, 1, 0, 0, 1, 0, 0, 1, 4, 0, 21, 0, 1, 7.0, 0.57, 0.0, 0.67, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 5.13, 3.27, 1.73, 3.33, 3.33, 0.0, 0.0, 0.0, 0.0, 2.27, 1.73, 0.0, 3.33, 2.93, 0.0, 2, 2, 2, 2, 2, 5, 3, 3, 3, 20140125_230217
10, 10, 8, 0, 0, 0, 0, 9, 0, 0, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6, 1.6, 0.0, 1.2, 1.2, 0.0, 1.8, 1.27, 0.0, 2.33, 2.2, 0.0, 0.0, 0.0, 0.0, 2, 2, 2, 2, 2, 5, 3, 3, 3, 20140125_230226
27, 27, 17, 0, 0, 7, 3, 13, 4, 6, 6, 0, 1, 0, 0, 2, 2, 0, 0, 0, 3, 12, 4, 0, 3, 15.0, 0.67, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 2.07, 1.47, 0.0, 1.0, 1.0, 0.0, 2.67, 1.93, 0.0, 1.0, 1.0, 0.0, 2, 2, 2, 2, 2, 5, 3, 3, 3, 20140125_232451
16, 16, 9, 0, 0, 0, 1, 11, 2, 13, 7, 0, 6, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 8.0, 0.14, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.93, 1.8, 0.13, 1.2, 1.2, 0.0, 1.27, 1.27, 0.0, 1.33, 0.2, 0.4, 2.33, 1.53, 0.0, 2, 4, 4, 4, 4, 5, 3, 3, 3, 20140125_232504
42, 42, 19, 0, 0, 0, 0, 20, 4, 6, 7, 2, 4, 0, 0, 2, 3, 0, 0, 0, 2, 0, 2, 37, 2, 13.0, 0.57, 0.0, 0.5, 0.67, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 9.87, 3.07, 2.2, 0.0, 0.0, 0.0, 8.47, 4.13, 0.0, 6.47, 3.33, 0.0, 8.27, 5.73, 0.67, 3, 5, 5, 4, 4, 5, 3, 3, 3, 20140125_232534
8, 8, 7, 0, 0, 5, 1, 5, 0, 0, 4, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 8, 0, 0, 0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.0, 2.27, 1.93, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4, 5, 5, 5, 5, 5, 3, 3, 3, 20140125_232543
35, 35, 23, 0, 0, 0, 1, 21, 2, 7, 7, 0, 4, 0, 0, 2, 3, 0, 0, 0, 2, 13, 3, 10, 4, 19.0, 0.29, 0.0, 0.0, 0.67, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 5, 5, 4, 4, 5, 3, 3, 3, 20140125_232606
28, 28, 17, 0, 0, 10, 1, 12, 4, 3, 5, 2, 3, 1, 0, 2, 1, 0, 0, 0, 2, 0, 6, 0, 1, 12.0, 1.0, 0.0, 0.67, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47, 2.0, 0.4, 1.33, 1.33, 0.0, 2.87, 2.33, 0.0, 2.2, 1.8, 0.0, 0.0, 0.0, 0.0, 4, 5, 5, 5, 5, 5, 3, 3, 3, 20140125_232627
